"battalion","incident_date_month","incidents_count","avg_minutes_to_arrival","avg_minutes_to_close","avg_suppression_units","avg_suppression_personnel","avg_ems_units","avg_ems_personnel","avg_other_units","avg_other_personnel","avg_estimated_property_loss","avg_estimated_contents_loss","avg_fire_fatalities","avg_fire_injuries","avg_civilian_fatalities","avg_civilian_injuries","avg_number_of_alarms","count_detectors_present","avg_number_of_floors_with_minimum_damage","avg_number_of_floors_with_significant_damage","avg_number_of_floors_with_heavy_damage","avg_number_of_floors_with_extreme_damage","count_automatic_extinguishing_system_present"
"B01","2005-01-01 00:00:00+00",323,-3.5301341589267285,-18.45794633642931,2.78328173374613,10.523219814241486,0.04953560371517028,0.09287925696594428,0.0,0.0,3134.829721362229,1555.5727554179566,0.0,0.0,0.0,0.0,1.0,5,0.8333333333333334,0.0,0.16666666666666666,0.0,2
"B01","2005-02-01 00:00:00+00",299,-3.6983277591973245,-23.57469342251951,2.9331103678929766,10.705685618729097,0.07357859531772576,0.13712374581939799,0.0,0.0,1946.6989966555184,843.247491638796,0.0,0.0,0.0,0.0,1.0100334448160535,2,0.6666666666666666,0.2222222222222222,0.1111111111111111,0.0,1
"B01","2005-03-01 00:00:00+00",338,-3.4178994082840237,-19.139644970414203,2.7485207100591715,10.07396449704142,0.023668639053254437,0.05325443786982249,0.0,0.0,2359.48224852071,924.9260355029586,0.0,0.0,0.0,0.0,1.0059171597633136,3,0.6,0.4,0.0,0.4,2
"B01","2005-04-01 00:00:00+00",291,-3.3739977090492554,-19.196162657502864,2.6391752577319587,10.243986254295532,0.05154639175257732,0.10309278350515463,0.003436426116838488,0.006872852233676976,245.87972508591065,51.292096219931274,0.0,0.0,0.0,0.0,1.0,2,0.8571428571428571,0.14285714285714285,0.0,0.0,3
"B01","2005-05-01 00:00:00+00",289,-3.584948096885813,-17.53869665513264,2.7889273356401385,10.470588235294118,0.04498269896193772,0.08650519031141868,0.0,0.0,1243.4602076124568,85.39100346020761,0.0,0.0,0.0,0.0,1.0034602076124568,6,1.1,0.1,0.0,0.0,3
"B01","2005-06-01 00:00:00+00",305,-3.7362295081967214,-17.86672131147541,2.780327868852459,10.472131147540983,0.07213114754098361,0.13114754098360656,0.022950819672131147,0.036065573770491806,296.1540983606557,109.66885245901639,0.0,0.0,0.0,0.0,1.0,8,0.6666666666666666,0.0,0.08333333333333333,0.0,3
"B01","2005-07-01 00:00:00+00",321,-3.530477673935618,-18.54761163032191,2.644859813084112,10.052959501557632,0.040498442367601244,0.1059190031152648,0.003115264797507788,0.006230529595015576,81.97196261682242,44.42056074766355,0.0,0.0,0.0,0.006230529595015576,1.003115264797508,3,0.42857142857142855,0.2857142857142857,0.0,0.0,NULL
"B01","2005-08-01 00:00:00+00",312,-3.652403846153846,-19.627777777777776,2.5416666666666665,9.705128205128204,0.060897435897435896,0.14102564102564102,0.003205128205128205,0.00641025641025641,513.1955128205128,71.04807692307692,0.0,0.0,0.0,0.0,1.0,1,0.6666666666666666,0.0,0.0,0.0,1
"B01","2005-09-01 00:00:00+00",311,-3.4743837084673097,-18.97524115755627,2.517684887459807,9.446945337620578,0.028938906752411574,0.05466237942122187,0.006430868167202572,0.00964630225080386,351.0128617363344,191.7524115755627,0.0,0.0,0.0,0.003215434083601286,1.0032154340836013,1,0.4,0.4,0.2,0.0,2
"B01","2005-10-01 00:00:00+00",320,-8.292476489028212,-28.011666666666667,2.6625,9.56875,0.05625,0.128125,0.0125,0.025,1290.171875,330.003125,0.0,0.0,0.0,0.0,1.00625,4,1.0,0.16666666666666666,0.0,0.0,3
